2025-06-02 14:22:32,329 - INFO - 开始超参数搜索，方法: random, 试验次数: 20
2025-06-02 14:24:20,402 - INFO - Config: {'filter_config': 'wide', 'fc_units': 'default', 'activation': 'relu', 'batch_size': 128, 'num_epochs': 30, 'optimizer': 'sgd', 'learning_rate': 0.001, 'momentum': 0.95, 'weight_decay': 1e-05, 'loss_type': 'ls', 'focal_alpha': 1, 'focal_gamma': 2, 'ls_smoothing': 0}, Epoch 1/30, Train Loss: 1.5060, Test Acc: 57.66%
2025-06-02 14:26:08,998 - INFO - Config: {'filter_config': 'wide', 'fc_units': 'default', 'activation': 'relu', 'batch_size': 128, 'num_epochs': 30, 'optimizer': 'sgd', 'learning_rate': 0.001, 'momentum': 0.95, 'weight_decay': 1e-05, 'loss_type': 'ls', 'focal_alpha': 1, 'focal_gamma': 2, 'ls_smoothing': 0}, Epoch 2/30, Train Loss: 1.1842, Test Acc: 62.85%
2025-06-02 14:27:56,730 - INFO - Config: {'filter_config': 'wide', 'fc_units': 'default', 'activation': 'relu', 'batch_size': 128, 'num_epochs': 30, 'optimizer': 'sgd', 'learning_rate': 0.001, 'momentum': 0.95, 'weight_decay': 1e-05, 'loss_type': 'ls', 'focal_alpha': 1, 'focal_gamma': 2, 'ls_smoothing': 0}, Epoch 3/30, Train Loss: 1.0274, Test Acc: 67.82%
2025-06-02 14:29:44,554 - INFO - Config: {'filter_config': 'wide', 'fc_units': 'default', 'activation': 'relu', 'batch_size': 128, 'num_epochs': 30, 'optimizer': 'sgd', 'learning_rate': 0.001, 'momentum': 0.95, 'weight_decay': 1e-05, 'loss_type': 'ls', 'focal_alpha': 1, 'focal_gamma': 2, 'ls_smoothing': 0}, Epoch 4/30, Train Loss: 0.9276, Test Acc: 69.07%
2025-06-02 14:31:32,712 - INFO - Config: {'filter_config': 'wide', 'fc_units': 'default', 'activation': 'relu', 'batch_size': 128, 'num_epochs': 30, 'optimizer': 'sgd', 'learning_rate': 0.001, 'momentum': 0.95, 'weight_decay': 1e-05, 'loss_type': 'ls', 'focal_alpha': 1, 'focal_gamma': 2, 'ls_smoothing': 0}, Epoch 5/30, Train Loss: 0.8648, Test Acc: 71.17%
2025-06-02 14:33:20,956 - INFO - Config: {'filter_config': 'wide', 'fc_units': 'default', 'activation': 'relu', 'batch_size': 128, 'num_epochs': 30, 'optimizer': 'sgd', 'learning_rate': 0.001, 'momentum': 0.95, 'weight_decay': 1e-05, 'loss_type': 'ls', 'focal_alpha': 1, 'focal_gamma': 2, 'ls_smoothing': 0}, Epoch 6/30, Train Loss: 0.8086, Test Acc: 72.63%
2025-06-02 14:35:09,161 - INFO - Config: {'filter_config': 'wide', 'fc_units': 'default', 'activation': 'relu', 'batch_size': 128, 'num_epochs': 30, 'optimizer': 'sgd', 'learning_rate': 0.001, 'momentum': 0.95, 'weight_decay': 1e-05, 'loss_type': 'ls', 'focal_alpha': 1, 'focal_gamma': 2, 'ls_smoothing': 0}, Epoch 7/30, Train Loss: 0.7625, Test Acc: 74.20%
2025-06-02 14:36:57,297 - INFO - Config: {'filter_config': 'wide', 'fc_units': 'default', 'activation': 'relu', 'batch_size': 128, 'num_epochs': 30, 'optimizer': 'sgd', 'learning_rate': 0.001, 'momentum': 0.95, 'weight_decay': 1e-05, 'loss_type': 'ls', 'focal_alpha': 1, 'focal_gamma': 2, 'ls_smoothing': 0}, Epoch 8/30, Train Loss: 0.7218, Test Acc: 74.75%
2025-06-02 14:38:45,492 - INFO - Config: {'filter_config': 'wide', 'fc_units': 'default', 'activation': 'relu', 'batch_size': 128, 'num_epochs': 30, 'optimizer': 'sgd', 'learning_rate': 0.001, 'momentum': 0.95, 'weight_decay': 1e-05, 'loss_type': 'ls', 'focal_alpha': 1, 'focal_gamma': 2, 'ls_smoothing': 0}, Epoch 9/30, Train Loss: 0.6874, Test Acc: 76.73%
2025-06-02 14:40:33,891 - INFO - Config: {'filter_config': 'wide', 'fc_units': 'default', 'activation': 'relu', 'batch_size': 128, 'num_epochs': 30, 'optimizer': 'sgd', 'learning_rate': 0.001, 'momentum': 0.95, 'weight_decay': 1e-05, 'loss_type': 'ls', 'focal_alpha': 1, 'focal_gamma': 2, 'ls_smoothing': 0}, Epoch 10/30, Train Loss: 0.6530, Test Acc: 75.25%
2025-06-02 14:42:21,939 - INFO - Config: {'filter_config': 'wide', 'fc_units': 'default', 'activation': 'relu', 'batch_size': 128, 'num_epochs': 30, 'optimizer': 'sgd', 'learning_rate': 0.001, 'momentum': 0.95, 'weight_decay': 1e-05, 'loss_type': 'ls', 'focal_alpha': 1, 'focal_gamma': 2, 'ls_smoothing': 0}, Epoch 11/30, Train Loss: 0.6196, Test Acc: 77.00%
