filter_config,fc_units,activation,batch_size,num_epochs,optimizer,learning_rate,momentum,weight_decay,loss_type,focal_alpha,focal_gamma,ls_smoothing,best_accuracy,timestamp
small,default,mish,64,15,sgd,0.001,0.95,0.001,ls,1,2,0.0,72.58,2025-05-31 14:19:31
small,default,swish,64,30,rmsprop,0.001,0.0,1e-05,ls,1,2,0.2,77.81,2025-05-31 14:26:30
deep,simplified,relu,64,30,adam,0.01,0.0,1e-05,ce,1,2,0.1,80.66,2025-05-31 14:34:08
wide,default,mish,128,30,adam,0.001,0.0,0.0001,ls,1,2,0.0,84.98,2025-05-31 14:41:47
deep,simplified,gelu,128,30,sgd,0.001,0.85,0.001,ce,1,2,0.1,76.64,2025-05-31 14:49:32
small,simplified,mish,256,30,adam,0.005,0.0,5e-05,ce,1,2,0.1,78.54,2025-05-31 14:56:51
deep,complex,swish,64,20,adam,0.01,0.0,0.001,ls,1,2,0.0,67.66,2025-05-31 15:02:31
medium,default,mish,256,20,sgd,0.005,0.95,0.001,focal,1,3,0.1,80.37,2025-05-31 15:07:40
wide,default,mish,64,15,rmsprop,0.1,0.0,5e-05,ls,1,2,0.1,10.0,2025-05-31 15:11:42
medium,default,gelu,256,15,sgd,0.001,0.85,0.001,ce,1,2,0.1,70.49,2025-05-31 15:15:31
wide,complex,selu,128,30,sgd,0.001,0.95,0.0005,focal,2,0,0.1,83.82,2025-05-31 15:23:59
wide,default,selu,32,30,rmsprop,0.01,0.0,1e-05,ls,1,2,0.05,78.24,2025-05-31 15:32:11
medium,simplified,swish,32,30,adam,0.05,0.0,0.0,focal,2,1,0.1,34.09,2025-05-31 15:40:25
medium,complex,relu,32,30,adam,0.001,0.0,1e-05,ce,1,2,0.1,83.89,2025-05-31 15:48:45
deep,complex,selu,64,30,rmsprop,0.005,0.0,5e-05,focal,2,3,0.1,80.06,2025-05-31 15:57:51
small,default,swish,32,20,sgd,0.1,0.95,1e-05,ls,1,2,0.0,22.67,2025-05-31 16:03:07
small,default,relu,32,20,sgd,0.1,0.85,5e-05,ls,1,2,0.05,70.89,2025-05-31 16:08:26
deep,complex,selu,64,20,adam,0.005,0.0,0.0,ls,1,2,0.2,80.85,2025-05-31 16:14:26
wide,simplified,relu,32,15,adam,0.01,0.0,1e-05,ce,1,2,0.1,58.19,2025-05-31 16:18:32
wide,default,mish,256,15,sgd,0.05,0.95,0.0,ce,1,2,0.1,10.0,2025-05-31 16:22:32
