filter_config,fc_units,activation,batch_size,num_epochs,optimizer,learning_rate,momentum,weight_decay,loss_type,focal_alpha,focal_gamma,ls_smoothing,best_accuracy,timestamp
small,default,mish,64,25,adam,0.005,0,5e-05,ls,1,2,0.0,78.04,2025-05-29 15:31:37
small,default,mish,192,35,adam,0.005,0,5e-05,ls,1,2,0.01,79.21,2025-05-29 16:10:09
large,default,mish,192,30,adam,0.0015,0,0.0001,ls,1,2,0.05,86.42,2025-05-29 18:11:27
small,simplified,mish,192,30,adam,0.005,0,5e-05,ls,1,2,0.01,78.02,2025-05-29 19:25:18
large,complex,mish,192,25,adam,0.001,0,0.0001,ls,1,2,0.0,85.77,2025-05-29 22:48:02
wide,simplified,mish,192,30,adam,0.0015,0,0.0001,ls,1,2,0.01,85.34,2025-05-30 00:10:44
medium,default,mish,128,30,adam,0.005,0,0.0001,ls,1,2,0.05,82.69,2025-05-30 02:35:22
large,default,mish,192,35,adam,0.001,0,0.00015,ls,1,2,0.05,86.45,2025-05-30 04:03:47
medium,default,mish,192,35,adam,0.005,0,0.00015,ls,1,2,0.0,83.05,2025-05-30 06:32:51
small,default,mish,192,25,adam,0.005,0,0.00015,ls,1,2,0.01,77.53,2025-05-30 06:55:01
small,complex,mish,192,35,adam,0.005,0,0.0001,ls,1,2,0.05,77.59,2025-05-30 07:47:14
small,complex,mish,192,25,adam,0.005,0,5e-05,ls,1,2,0.0,78.39,2025-05-30 08:21:07
deep,complex,mish,192,30,adam,0.001,0,0.00015,ls,1,2,0.0,84.68,2025-05-30 09:16:50
deep,default,mish,192,30,adam,0.005,0,0.0001,ls,1,2,0.01,81.99,2025-05-30 14:12:56
deep,simplified,mish,192,35,adam,0.005,0,0.00015,ls,1,2,0.0,83.07,2025-05-30 19:44:45
medium,default,mish,128,25,adam,0.005,0,0.0001,ls,1,2,0.0,81.71,2025-05-30 23:09:45
small,simplified,mish,192,25,adam,0.005,0,0.0001,ls,1,2,0.05,77.31,2025-05-30 23:36:38
wide,default,mish,64,35,adam,0.0015,0,0.00015,ls,1,2,0.0,85.72,2025-05-31 02:06:36
wide,complex,mish,64,25,adam,0.001,0,0.00015,ls,1,2,0.05,84.85,2025-05-31 03:36:17
wide,default,mish,128,35,adam,0.001,0,5e-05,ls,1,2,0.0,84.72,2025-05-31 04:54:23
