filter_config,fc_units,activation,batch_size,num_epochs,optimizer,learning_rate,momentum,weight_decay,loss_type,focal_alpha,focal_gamma,ls_smoothing,best_accuracy,timestamp
small,default,mish,64,15,sgd,0.001,0.95,0.001,ls,1,2,0.0,73.56,2025-05-28 03:01:55
small,default,swish,64,30,rmsprop,0.001,0.0,1e-05,ls,1,2,0.2,77.87,2025-05-28 03:27:44
deep,simplified,relu,64,30,adam,0.01,0.0,1e-05,ce,1,2,0.1,79.8,2025-05-28 06:30:41
wide,default,mish,128,30,adam,0.001,0.0,0.0001,ls,1,2,0.0,84.93,2025-05-28 07:40:04
deep,simplified,gelu,128,30,sgd,0.001,0.85,0.001,ce,1,2,0.1,76.8,2025-05-28 08:19:00
small,simplified,mish,256,30,adam,0.005,0.0,5e-05,ce,1,2,0.1,79.11,2025-05-28 08:42:33
deep,complex,swish,64,20,adam,0.01,0.0,0.001,ls,1,2,0.0,69.1,2025-05-28 10:17:09
medium,default,mish,256,20,sgd,0.005,0.95,0.001,focal,1,3,0.1,80.15,2025-05-28 10:41:08
wide,default,mish,64,15,rmsprop,0.1,0.0,5e-05,ls,1,2,0.1,10.07,2025-05-28 11:45:54
medium,default,gelu,256,15,sgd,0.001,0.85,0.001,ce,1,2,0.1,69.9,2025-05-28 12:04:04
wide,complex,selu,128,30,sgd,0.001,0.95,0.0005,focal,2,0,0.1,83.76,2025-05-28 13:08:12
wide,default,selu,32,30,rmsprop,0.01,0.0,1e-05,ls,1,2,0.05,76.51,2025-05-28 19:55:29
medium,simplified,swish,32,30,adam,0.05,0.0,0.0,focal,2,1,0.1,29.22,2025-05-28 20:54:37
medium,complex,relu,32,30,adam,0.001,0.0,1e-05,ce,1,2,0.1,83.44,2025-05-28 23:31:38
deep,complex,selu,64,30,rmsprop,0.005,0.0,5e-05,focal,2,3,0.1,80.36,2025-05-29 02:18:54
small,default,swish,32,20,sgd,0.1,0.95,1e-05,ls,1,2,0.0,43.27,2025-05-29 02:32:04
small,default,relu,32,20,sgd,0.1,0.85,5e-05,ls,1,2,0.05,72.7,2025-05-29 02:45:14
deep,complex,selu,64,20,adam,0.005,0.0,0.0,ls,1,2,0.2,80.16,2025-05-29 03:13:13
wide,simplified,relu,32,15,adam,0.01,0.0,1e-05,ce,1,2,0.1,75.91,2025-05-29 04:34:26
wide,default,mish,256,15,sgd,0.05,0.95,0.0,ce,1,2,0.1,10.0,2025-05-29 05:00:39
